Well_Name,TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section,Lith_Encoded
G39,999.4,1000.6,-1.1688960576463814,-1.0201613351609944,-1.7520065449782092,-0.1771135907239253,-0.2461122512972913,1.2831073548738972,-2.5842454265431014,-1.0214277075046585,siltstone,3
G39,1000.6,1002.0,-0.6984257433992537,0.046415872325111,-1.3412639574149778,-0.4602427089458514,-0.4489111444531249,0.8436611705990169,-0.6390124792321407,-0.9564546399388784,mudstone,1
G39,1002.0,1010.2,-1.029622425329358,-2.7195466915446587,-2.819949755322676,0.2795442180227007,0.2042524968472787,1.430553650841631,-2.645392396940675,-0.6543251072735162,siltstone,3
G39,1010.2,1017.6,0.5278787924317258,0.3705369739215189,-0.7811286548249498,-0.6369421170316898,-0.6690807909676953,1.0794981053839705,-0.3233422542470404,-0.3541342101970606,mudstone,1
G39,1017.6,1020.0,-0.0513054537456475,-1.5686157303784136,-1.7734642720112188,-0.2136513226197271,-0.3353178397038229,1.1559767390035336,-2.054681968251819,-0.297168907956111,siltstone,3
G39,1020.0,1022.8,0.3070764871538016,-0.5609490383599496,-0.9017487923002118,-0.4919296685727842,-0.5461326050689739,0.5685576383567883,-0.4964439154914267,-0.243265301615538,mudstone,1
G39,1022.8,1024.2,-0.6576614069188021,-1.2731808664292736,-1.659072991888762,-0.214949401621267,-0.3551965610853548,0.83276532026567,-1.993615773244464,-0.197040599600829,siltstone,3
G39,1024.2,1025.5,0.1644013094722203,-0.94246049943895,-1.0029708449533117,-0.520260774780982,-0.5775383538917364,0.8038234496048677,-0.8325503142025376,-0.1683310343910674,silty mudstone,4
G39,1025.5,1026.5,0.2663121506733502,-0.3364249800663044,-0.7094281405273292,-0.6714242025086595,-0.6862868419488158,1.2363123107941936,-0.8223726150346432,-0.150533077127009,mudstone,1
G39,1026.5,1029.6,-0.4844129768768817,-0.8464879849162252,-1.191134764264302,-0.5254796907666811,-0.5743640898867659,0.7403100619912194,-1.138123615409969,-0.1404238900187837,silty mudstone,4
G39,1029.6,1035.0,-0.5591521110822325,-1.0313747210742346,-1.232115402920132,-0.3692846109092643,-0.4325403698156305,0.644005282734463,-1.0973320433481768,-0.1722740777686738,siltstone,3
G39,1035.0,1046.5,-0.2347314159341168,0.2368824751576516,-0.6001547592318263,-0.666951149949255,-0.7063324046998813,1.0388148248676954,-0.8936972846001111,-0.2200214062085969,mudstone,1
G39,1046.5,1048.6,0.0370263099443733,-0.1804748601883936,-0.7261299664552917,-0.5467288184222157,-0.6087761918490069,0.7157888358495959,-0.9547634796074628,-0.2506712513122599,silty mudstone,4
G39,1048.6,1049.2,-0.5387699428420056,-1.1930418197351311,-0.6990550333926978,-0.2770231138752294,-0.3782495464718574,0.9832823323927004,-1.8204333366098524,-0.2819426437039693,siltstone,3
G39,1049.2,1051.0,-0.3315467150751881,0.0519599706235232,-0.6497858951732153,-0.6736607287883618,-0.6836141715484044,1.320593827021436,-0.577946284224789,-0.3124116152582009,mudstone,1
G39,1051.0,1055.5,-0.0513054537456475,-0.2275698887447958,-1.1838199137457777,-0.3491548103927624,-0.4086521080855018,0.5442218419349298,-0.852905712538319,-0.3418512518856678,muddy siltstone,0
